time	V(n001)	V(n002)
7.580299631601520e-002	-2.981200e+000	-7.364739e-001
7.609596506601518e-002	-4.015138e+000	-7.506061e-001
7.638893381601516e-002	-5.000147e+000	-7.599217e-001
7.668190256601515e-002	-5.924223e+000	-7.667616e-001
7.697487131601513e-002	-6.776108e+000	-7.720560e-001
7.726784006601511e-002	-7.545418e+000	-7.762531e-001
7.756080881601510e-002	-8.222778e+000	-7.795995e-001
7.785377756601508e-002	-8.799936e+000	-7.822427e-001
7.814674631601506e-002	-9.269857e+000	-7.842747e-001
7.843971506601505e-002	-9.626816e+000	-7.857547e-001
7.873268381601503e-002	-9.866461e+000	-7.867203e-001
7.902565256601501e-002	-9.985873e+000	-7.871934e-001
7.931862131601500e-002	-9.983596e+000	-7.871845e-001
7.961159006601498e-002	-9.859659e+000	-7.866933e-001
7.990455881601496e-002	-9.615571e+000	-7.857092e-001
8.019752756601495e-002	-9.254308e+000	-7.842095e-001
8.049049631601493e-002	-8.780271e+000	-7.821561e-001
8.078346506601492e-002	-8.199237e+000	-7.794887e-001
8.107643381601490e-002	-7.518286e+000	-7.761139e-001
8.136940256601488e-002	-6.745718e+000	-7.718813e-001
8.166237131601487e-002	-5.890945e+000	-7.665393e-001
8.195534006601485e-002	-4.964386e+000	-7.596281e-001
8.224830881601483e-002	-3.977329e+000	-7.501856e-001
8.254127756601482e-002	-2.941805e+000	-7.356247e-001
8.273659006601480e-002	-2.230741e+000	-7.184263e-001
8.283424631601480e-002	-1.870432e+000	-7.020571e-001
8.293190256601479e-002	-1.507588e+000	-6.582932e-001
8.302955881601479e-002	-1.142701e+000	-5.532810e-001
8.312721506601478e-002	-7.762658e-001	-3.897862e-001
8.318766743471191e-002	-5.488715e-001	-2.758640e-001
8.325902376633480e-002	-2.801038e-001	-1.408550e-001
8.335668001633480e-002	8.801378e-002	4.402295e-002
8.345433626633479e-002	4.560121e-001	2.288201e-001
8.364964876633478e-002	1.189657e+000	5.972269e-001
8.394261751633476e-002	2.276803e+000	1.143140e+000
8.423558626633475e-002	3.336203e+000	1.675117e+000
8.452855501633473e-002	4.354949e+000	2.186678e+000
8.482152376633471e-002	5.320625e+000	2.671589e+000
8.511449251633470e-002	6.221463e+000	3.123943e+000
8.540746126633468e-002	7.046486e+000	3.538227e+000
8.570043001633466e-002	7.785641e+000	3.909393e+000
8.599339876633465e-002	8.429918e+000	4.232918e+000
8.628636751633463e-002	8.971469e+000	4.504860e+000
8.638402376633463e-002	9.127979e+000	4.583451e+000
8.648168001633462e-002	9.272119e+000	4.655818e+000
8.657933626633461e-002	9.403692e+000	4.721739e+000
8.667699251633461e-002	9.522522e+000	4.780345e+000
8.677464876633460e-002	9.628447e+000	4.829020e+000
8.687230501633460e-002	9.721322e+000	4.864592e+000
8.696996126633459e-002	9.801023e+000	4.887198e+000
8.706761751633459e-002	9.867442e+000	4.900729e+000
8.716527376633458e-002	9.920487e+000	4.909030e+000
8.726293001633458e-002	9.960089e+000	4.914073e+000
8.736058626633457e-002	9.986192e+000	4.916933e+000
8.745824251633456e-002	9.998761e+000	4.918223e+000
8.755589876633456e-002	9.997780e+000	4.918112e+000
8.765355501633455e-002	9.983249e+000	4.916563e+000
8.775121126633455e-002	9.955189e+000	4.913350e+000
8.784886751633454e-002	9.913637e+000	4.907946e+000
8.794652376633454e-002	9.858650e+000	4.899245e+000
8.804418001633453e-002	9.790302e+000	4.884766e+000
8.814183626633453e-002	9.708687e+000	4.860388e+000
8.823949251633452e-002	9.613913e+000	4.822768e+000
8.833714876633451e-002	9.506110e+000	4.772444e+000
8.843480501633451e-002	9.385425e+000	4.712674e+000
8.853246126633450e-002	9.252020e+000	4.645799e+000
8.863011751633450e-002	9.106076e+000	4.572529e+000
8.892308626633448e-002	8.595076e+000	4.315948e+000
8.921605501633446e-002	7.979334e+000	4.006771e+000
8.950902376633445e-002	7.266356e+000	3.648768e+000
8.980199251633443e-002	6.464830e+000	3.246303e+000
